run,run_id,task,arm,step,system,task_text,url,menu_size,s1_operation,s1_op_conf,s1_target,s1_target_conf,alternatives,goal_done,stuck,needs_reasoning,destructive,arbiter_reason,s1_proposed,executed,executed_target,url_after,result_error,next_reason,verify_band,verify_complete,verify_unmet_max,run_passed,auto_label,label,note,label_a,reason_a,label_b,reason_b,model_label
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.96,2,0.63,2 (0.64); Clear (0.33); 0 (0.01); 1 (0.01); Multiply (0.01),0.02,0.1,0.09,0.09,"act: operation 0.96, target 0.63",[],click,2,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 2",right,second digit of 12,right
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,Multiply,0.79,Multiply (0.79); Clear (0.19); 1 (0.02); Percent (0.00); Delete (0.00),0.02,0.1,0.07,0.06,"act: operation 0.98, target 0.79",[],click,Multiply,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Multiply",right,operator for 12 times 11,right
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,1,0.83,1 (0.85); Clear (0.13); Equals (0.02); Percent (0.00); Delete (0.00),0.03,0.09,0.08,0.05,"act: operation 0.99, target 0.83",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 11,right
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.58,1 (0.60); Clear (0.22); Equals (0.16); 0 (0.01); 2 (0.01),0.02,0.37,0.09,0.06,"act: operation 0.98, target 0.58",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,second digit of 11,right
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.93,Equals,0.92,Equals (0.93); Clear (0.07); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.05,0.46,0.12,0.07,"act: operation 0.93, target 0.92",[],click,Equals,app://Calculator,,verification accept,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Equals",right,Equals completes 12 x 11,right
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.95,,,,0.91,0.39,0.54,0.08,"verification accept: complete p=0.89, max unmet p=0.09",[],done,,app://Calculator,,,accept,0.89,0.09,True,right,,,right,"12 x 11 = entered in full; task complete on display, done is right",right,"All Clear,1,2,Multiply,1,1,Equals done; result on display",right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,All Clear,0.95,All Clear (0.96); 1 (0.04); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.02,0.04,0.06,0.13,"act: operation 0.98, target 0.95",[],click,All Clear,app://Calculator,,act,,,,True,right,,,right,"Task says clear first; nothing cleared yet, All Clear is the first step",right,task says clear first; All Clear is the clear key,right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.97,1,0.67,1 (0.69); All Clear (0.28); 2 (0.01); Multiply (0.01); Percent (0.00),0.02,0.07,0.07,0.07,"act: operation 0.97, target 0.67",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 12,right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.96,2,0.62,2 (0.64); Clear (0.32); Multiply (0.02); 0 (0.01); 1 (0.01),0.02,0.1,0.08,0.08,"act: operation 0.96, target 0.62",[],click,2,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 2",right,second digit of 12,right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,Multiply,0.69,Multiply (0.70); Clear (0.28); 1 (0.02); Percent (0.00); Delete (0.00),0.02,0.11,0.07,0.06,"act: operation 0.99, target 0.69",[],click,Multiply,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Multiply",right,operator for 12 times 11,right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,1,0.82,1 (0.83); Clear (0.15); Equals (0.02); Percent (0.00); Delete (0.00),0.03,0.09,0.07,0.06,"act: operation 0.99, target 0.82",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 11,right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.66,1 (0.67); Clear (0.20); Equals (0.12); 2 (0.01); Percent (0.00),0.02,0.39,0.09,0.07,"act: operation 0.98, target 0.66",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,second digit of 11,right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.94,Equals,0.94,Equals (0.94); Clear (0.06); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.05,0.49,0.11,0.07,"act: operation 0.94, target 0.94",[],click,Equals,app://Calculator,,verification accept,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Equals",right,Equals completes 12 x 11,right
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.95,,,,0.94,0.41,0.53,0.08,"verification accept: complete p=0.85, max unmet p=0.13",[],done,,app://Calculator,,,accept,0.85,0.13,True,right,,,right,"12 x 11 = entered in full; task complete on display, done is right",right,"All Clear,1,2,Multiply,1,1,Equals done; result on display",right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,All Clear,0.97,All Clear (0.97); 1 (0.03); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.02,0.04,0.06,0.16,"act: operation 0.99, target 0.97",[],click,All Clear,app://Calculator,,act,,,,True,right,,,right,"Task says clear first; nothing cleared yet, All Clear is the first step",right,task says clear first; All Clear is the clear key,right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.97,1,0.65,1 (0.66); All Clear (0.32); 2 (0.01); Multiply (0.01); Percent (0.00),0.02,0.08,0.06,0.08,"act: operation 0.97, target 0.65",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 12,right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.96,2,0.56,2 (0.58); Clear (0.40); 1 (0.01); Multiply (0.01); Percent (0.00),0.02,0.1,0.09,0.08,"act: operation 0.96, target 0.56",[],click,2,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 2",right,second digit of 12,right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,Multiply,0.67,Multiply (0.68); Clear (0.28); 1 (0.03); Percent (0.00); Delete (0.00),0.02,0.12,0.07,0.07,"act: operation 0.98, target 0.67",[],click,Multiply,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Multiply",right,operator for 12 times 11,right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.8,1 (0.82); Clear (0.15); Equals (0.02); Percent (0.00); Delete (0.00),0.03,0.09,0.07,0.06,"act: operation 0.98, target 0.8",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 11,right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.65,1 (0.66); Clear (0.20); Equals (0.10); 2 (0.02); 0 (0.01),0.02,0.33,0.09,0.07,"act: operation 0.98, target 0.65",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,second digit of 11,right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.91,Equals,0.94,Equals (0.94); Clear (0.06); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.04,0.41,0.11,0.07,"act: operation 0.91, target 0.94",[],click,Equals,app://Calculator,,verification accept,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Equals",right,Equals completes 12 x 11,right
q10-native-dev-20260924,calc-multiply-s1_only-66fb2bed,calc-multiply,s1_only,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.94,,,,0.93,0.4,0.54,0.07,"verification accept: complete p=0.85, max unmet p=0.12",[],done,,app://Calculator,,,accept,0.85,0.12,True,right,,,right,"12 x 11 = entered in full; task complete on display, done is right",right,"All Clear,1,2,Multiply,1,1,Equals done; result on display",right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,All Clear,0.96,All Clear (0.97); 1 (0.03); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.02,0.04,0.06,0.14,"act: operation 0.99, target 0.96",[],click,All Clear,app://Calculator,,act,,,,True,right,,,right,"Task says clear first; nothing cleared yet, All Clear is the first step",right,task says clear first; All Clear is the clear key,right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.96,1,0.64,1 (0.66); All Clear (0.31); 2 (0.02); Multiply (0.01); Percent (0.00),0.02,0.07,0.07,0.07,"act: operation 0.96, target 0.64",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 12,right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.95,2,0.59,2 (0.61); Clear (0.38); Multiply (0.01); Percent (0.00); Delete (0.00),0.02,0.1,0.08,0.08,"act: operation 0.95, target 0.59",[],click,2,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 2",right,second digit of 12,right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,Multiply,0.74,Multiply (0.76); Clear (0.21); 1 (0.03); Percent (0.00); Delete (0.00),0.03,0.11,0.07,0.08,"act: operation 0.98, target 0.74",[],click,Multiply,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Multiply",right,operator for 12 times 11,right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,1,0.79,1 (0.80); Clear (0.18); Equals (0.02); Percent (0.00); Delete (0.00),0.03,0.09,0.07,0.06,"act: operation 0.99, target 0.79",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 11,right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.63,1 (0.65); Clear (0.21); Equals (0.11); 2 (0.02); 0 (0.01),0.02,0.36,0.08,0.06,"act: operation 0.98, target 0.63",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,second digit of 11,right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.94,Equals,0.94,Equals (0.94); Clear (0.06); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.04,0.49,0.11,0.07,"act: operation 0.94, target 0.94",[],click,Equals,app://Calculator,,verification accept,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Equals",right,Equals completes 12 x 11,right
q10-native-dev-20260924,calc-multiply-s1_only-ddff5add,calc-multiply,s1_only,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.95,,,,0.93,0.42,0.51,0.08,"verification accept: complete p=0.88, max unmet p=0.11",[],done,,app://Calculator,,,accept,0.88,0.11,True,right,,,right,"12 x 11 = entered in full; task complete on display, done is right",right,"All Clear,1,2,Multiply,1,1,Equals done; result on display",right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,All Clear,0.96,All Clear (0.96); 1 (0.04); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.02,0.05,0.06,0.16,"act: operation 0.99, target 0.96",[],click,All Clear,app://Calculator,,act,,,,True,right,,,right,"Task says clear first; nothing cleared yet, All Clear is the first step",right,task says clear first; All Clear is the clear key,right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.97,1,0.69,1 (0.71); All Clear (0.27); 2 (0.01); Multiply (0.01); Percent (0.00),0.02,0.08,0.07,0.08,"act: operation 0.97, target 0.69",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 12,right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.96,2,0.67,2 (0.69); Clear (0.28); Multiply (0.02); Percent (0.00); Delete (0.00),0.02,0.1,0.08,0.08,"act: operation 0.96, target 0.67",[],click,2,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 2",right,second digit of 12,right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,Multiply,0.73,Multiply (0.74); Clear (0.24); 1 (0.02); Percent (0.00); Delete (0.00),0.02,0.12,0.07,0.07,"act: operation 0.98, target 0.73",[],click,Multiply,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Multiply",right,operator for 12 times 11,right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.81,1 (0.83); Clear (0.15); Equals (0.02); Percent (0.00); Delete (0.00),0.03,0.09,0.08,0.05,"act: operation 0.98, target 0.81",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 11,right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.65,1 (0.67); Clear (0.18); Equals (0.12); 2 (0.02); 0 (0.01),0.02,0.33,0.09,0.06,"act: operation 0.98, target 0.65",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,second digit of 11,right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.93,Equals,0.93,Equals (0.94); Clear (0.06); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.05,0.44,0.1,0.07,"act: operation 0.93, target 0.93",[],click,Equals,app://Calculator,,verification accept,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Equals",right,Equals completes 12 x 11,right
q10-native-dev-20260924,calc-multiply-s1_only-e358dc33,calc-multiply,s1_only,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.96,,,,0.93,0.4,0.54,0.08,"verification accept: complete p=0.88, max unmet p=0.10",[],done,,app://Calculator,,,accept,0.88,0.1,True,right,,,right,"12 x 11 = entered in full; task complete on display, done is right",right,"All Clear,1,2,Multiply,1,1,Equals done; result on display",right
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,1,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.97,All Clear,0.94,All Clear (0.95); 1 (0.04); Percent (0.01); Delete (0.00); Recall Memory (0.00),0.02,0.04,0.06,0.09,"act: operation 0.97, target 0.94",[],click,All Clear,app://Calculator,,act,,,,False,right,,,right,Task says clear first; nothing cleared yet,right,task says clear first; All Clear clears,right
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,2,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.94,1,0.67,1 (0.69); All Clear (0.24); Percent (0.06); 2 (0.01); Delete (0.00),0.02,0.08,0.07,0.06,"act: operation 0.94, target 0.67",[],click,1,app://Calculator,,act,,,,False,right,,,wrong,"Sequence should start with 2 (2,4,0,Multiply,1,5,Percent,Equals); 1 is wrong order",right,starts 15 as first operand; 15 x 240 % or 15 % x 240 both give 36 with the percent key,disagree
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,3,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.94,5,0.54,5 (0.55); Clear (0.32); 2 (0.06); Percent (0.04); 3 (0.01),0.02,0.11,0.09,0.07,"act: operation 0.94, target 0.54",[],click,5,app://Calculator,,act,,,,False,right,,,wrong,Continues wrong-order entry (15 before 240); Clear was the better recovery,right,second digit of 15,disagree
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,4,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.93,Percent,0.53,Percent (0.55); Clear (0.16); Multiply (0.14); 2 (0.11); 0 (0.01),0.02,0.11,0.1,0.06,"act: operation 0.93, target 0.53",[],click,Percent,app://Calculator,,act,,,,False,right,,,wrong,Percent after 15 with no 240 entered; wrong order,right,15 % gives 0.15; multiplying by 240 next still reaches 36 with the percent key,disagree
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,5,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.84,2,0.55,2 (0.57); Multiply (0.19); Clear (0.15); Equals (0.04); Percent (0.01),0.02,0.1,0.14,0.06,"act: operation 0.84, target 0.55",[],click,2,app://Calculator,,retry_alternate,,,,False,right,,,wrong,Continues a wrong sequence (15% then 2); should clear,wrong,after 15 % a digit starts a new number; Multiply was needed (on menu),wrong
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,6,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.88,3,0.23,Clear (0.25); 3 (0.20); 0 (0.16); Equals (0.12); Multiply (0.10),0.02,0.12,0.16,0.07,retry_alternate: retry_alternate: target confidence 0.23 < 0.45; alternate 39 p=0.20 within 0.15 of chosen p=0.25,[],click,3,app://Calculator,,act,,,,False,right,,,wrong,3 is a wrong digit; 240 needs 4,wrong,wrong digit (240 needs 4) in an already broken sequence; Clear was the recovery,wrong
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,7,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.83,0,0.49,0 (0.51); Equals (0.17); Clear (0.12); 4 (0.07); Multiply (0.05),0.03,0.13,0.15,0.06,"act: operation 0.83, target 0.49",[],click,0,app://Calculator,,act,,,,False,right,,,wrong,Continues wrong operand 230 on a wrong sequence,wrong,"continues entering 230, not 240; sequence is wrong, Clear was better",wrong
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,8,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.6,Equals,0.67,Equals (0.69); Clear (0.18); Multiply (0.08); Add (0.02); Percent (0.01),0.05,0.13,0.27,0.07,"act: operation 0.60, target 0.67",[],click,Equals,app://Calculator,,System 2 click [8] (Clearing calculator to restart correct 240×15% sequence),,,,False,right,,,wrong,Equals completes a wrong computation (15% 230); Clear/All Clear was the recovery,wrong,"Equals on a broken sequence (no operator, 230) cannot give 15% of 240; Clear was better",wrong
