run,run_id,task,arm,step,system,task_text,url,menu_size,s1_operation,s1_op_conf,s1_target,s1_target_conf,alternatives,goal_done,stuck,needs_reasoning,destructive,arbiter_reason,s1_proposed,label,note,audit_label,audit_note
q10-native-dev-20260924,calc-percent-s1_only-a0fb30af,calc-percent,s1_only,5,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.93,2,0.42,All Clear (0.44); 2 (0.30); 1 (0.12); Percent (0.08); Equals (0.01),0.02,0.79,0.09,0.07,retry_alternate: retry_alternate: target confidence 0.42 < 0.45; alternate 38 p=0.30 within 0.15 of chosen p=0.44,[],,,,
q10-native-dev-20260924,calc-percent-dual-6b4eae95,calc-percent,dual,8,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.65,All Clear,0.52,All Clear (0.54); Equals (0.14); 0 (0.11); 2 (0.05); 3 (0.04),0.04,0.14,0.36,0.08,"act: operation 0.65, target 0.52",[],,,,
q10-native-dev-20260924,textedit-append-and-save-dual-0d073fda,textedit-append-and-save,dual,18,s2,"Add the line ""Second line."" to the end of the document and save it.",app://TextEdit,4,done,0.48,,,,0.26,0.94,0.4,0.08,System 2 wait,[],,,,
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,1,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.97,All Clear,0.94,All Clear (0.95); 1 (0.04); Percent (0.01); Delete (0.00); Recall Memory (0.00),0.02,0.04,0.06,0.09,"act: operation 0.97, target 0.94",[],,,,
q10-native-dev-20260924,textedit-append-and-save-dual-682cb6de,textedit-append-and-save,dual,6,s2,"Add the line ""Second line."" to the end of the document and save it.",app://TextEdit,0,blocked,0.71,,,,0.02,0.51,0.47,0.08,System 2 hotkey cmd+down,[],,,,
q10-native-dev-20260924,textedit-append-and-save-s1_only-7e981859,textedit-append-and-save,s1_only,2,s1,"Add the line ""Second line."" to the end of the document and save it.",app://TextEdit,4,click,0.59,button,0.5,button (0.67); button (0.20); button (0.13),0.23,0.07,0.19,0.11,"act: operation 0.59, target 0.5",[],,,,
q10-native-dev-20260924,textedit-append-and-save-dual-682cb6de,textedit-append-and-save,dual,2,s1,"Add the line ""Second line."" to the end of the document and save it.",app://TextEdit,4,click,0.65,button,0.53,button (0.68); button (0.18); button (0.14),0.24,0.08,0.19,0.12,"act: operation 0.65, target 0.53",[],,,,
q10-native-dev-20260924,calc-subtract-s1_only-a4fe9051,calc-subtract,s1_only,2,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,54,click,0.94,2,0.82,2 (0.84); All Clear (0.14); Subtract (0.01); 5 (0.01); Percent (0.00),0.03,0.08,0.07,0.1,"act: operation 0.94, target 0.82",[],,,,
q10-native-dev-20260924,calc-percent-s1_only-a3a6d193,calc-percent,s1_only,5,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.93,2,0.41,All Clear (0.43); 2 (0.33); Percent (0.11); 1 (0.08); 0 (0.01),0.02,0.82,0.08,0.06,retry_alternate: retry_alternate: target confidence 0.41 < 0.45; alternate 38 p=0.33 within 0.15 of chosen p=0.43,[],,,,
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.96,,,,0.92,0.43,0.52,0.07,"verification accept: complete p=0.86, max unmet p=0.11",[],,,,
q10-native-dev-20260924,textedit-append-and-save-dual-0d073fda,textedit-append-and-save,dual,6,s2,"Add the line ""Second line."" to the end of the document and save it.",app://TextEdit,4,done,0.56,,,,0.33,0.94,0.36,0.09,"System 2 done refused, verification reject: The document was saved unmet with p=0.80; ledger carried 1 requirement(s)",[],,,,
