run,run_id,task,arm,step,system,task_text,url,menu_size,s1_operation,s1_op_conf,s1_target,s1_target_conf,alternatives,goal_done,stuck,needs_reasoning,destructive,arbiter_reason,s1_proposed,label,note,argument_a,completion_a,argument_b,completion_b,audit_label,audit_note
q10b-native-dev-20260924,calc-subtract-dual-b7a60279,calc-subtract,dual,6,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,click,0.98,7,0.95,7 (0.96); Clear (0.04); 4 (0.00); Multiply (0.00); 9 (0.00),0.02,0.09,0.07,0.05,"act: operation 0.98, target 0.95","[{""name"": ""click"", ""params"": {""index"": 5, ""label"": ""7""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-subtract-s1_only-6d789001,calc-subtract,s1_only,5,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,click,0.97,Subtract,0.75,Subtract (0.77); Clear (0.19); 7 (0.04); 4 (0.00); Multiply (0.00),0.03,0.11,0.07,0.07,"act: operation 0.97, target 0.75","[{""name"": ""click"", ""params"": {""index"": 12, ""label"": ""Subtract""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-707b415c,calc-percent,dual,1,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.98,All Clear,0.92,All Clear (0.93); 1 (0.05); Percent (0.01); 4 (0.00); Multiply (0.00),0.02,0.05,0.07,0.08,"act: operation 0.98, target 0.92","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-subtract-dual-b7a60279,calc-subtract,dual,8,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,click,0.97,Equals,0.95,Equals (0.95); Clear (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.03,0.31,0.1,0.07,"act: operation 0.97, target 0.95","[{""name"": ""click"", ""params"": {""index"": 20, ""label"": ""Equals""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-7ee994b5,calc-percent,dual,4,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.93,2,0.31,Percent (0.35); 2 (0.26); Multiply (0.18); Clear (0.17); 4 (0.03),0.02,0.11,0.1,0.07,retry_alternate: retry_alternate: target confidence 0.31 < 0.45; alternate 14 p=0.26 within 0.15 of chosen p=0.35,"[{""name"": ""click"", ""params"": {""index"": 14, ""label"": ""2""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-s1_only-8ce43e1a,calc-percent,s1_only,5,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.89,Clear,0.42,Clear (0.46); Percent (0.20); 4 (0.14); Multiply (0.12); Equals (0.02),0.02,0.17,0.13,0.1,target_confidence: target confidence 0.42 < 0.45,[],,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,textedit-append-line-s1_only-624ef358,textedit-append-line,s1_only,2,s1,"Add the line ""Second line."" at the end of the document, keeping the first line as it is, and save the document.",app://TextEdit,4,click,0.65,button,0.6,button (0.73); button (0.14); button (0.13),0.2,0.07,0.25,0.09,"act: operation 0.65, target 0.6","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""button""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-read-result-dual-1a8c23a6,calc-read-result,dual,3,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,24,click,0.98,Multiply,0.81,Multiply (0.83); Clear (0.09); 9 (0.08); 4 (0.00); 8 (0.00),0.02,0.08,0.16,0.06,"act: operation 0.98, target 0.81","[{""name"": ""click"", ""params"": {""index"": 8, ""label"": ""Multiply""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-707b415c,calc-percent,dual,5,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.72,2,0.57,2 (0.60); Multiply (0.15); Clear (0.12); Equals (0.06); 4 (0.04),0.03,0.1,0.16,0.07,"act: operation 0.72, target 0.57","[{""name"": ""click"", ""params"": {""index"": 14, ""label"": ""2""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-707b415c,calc-percent,dual,14,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.92,Percent,0.74,Percent (0.76); Multiply (0.14); Clear (0.07); Equals (0.03); 4 (0.00),0.02,0.5,0.11,0.07,"act: operation 0.92, target 0.74","[{""name"": ""click"", ""params"": {""index"": 3, ""label"": ""Percent""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-subtract-s1_only-6d789001,calc-subtract,s1_only,7,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,click,0.97,5,0.91,5 (0.92); Clear (0.05); 7 (0.02); 4 (0.00); Multiply (0.00),0.02,0.11,0.1,0.06,"act: operation 0.97, target 0.91","[{""name"": ""click"", ""params"": {""index"": 10, ""label"": ""5""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-707b415c,calc-percent,dual,16,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.85,All Clear,0.61,All Clear (0.64); 2 (0.28); Equals (0.04); Multiply (0.02); Percent (0.01),0.03,0.84,0.12,0.08,"act: operation 0.85, target 0.61","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-7ee994b5,calc-percent,dual,1,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.98,All Clear,0.95,All Clear (0.95); 1 (0.04); Percent (0.01); 4 (0.00); Multiply (0.00),0.02,0.04,0.06,0.07,"act: operation 0.98, target 0.95","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-read-result-s1_only-c440015d,calc-read-result,s1_only,6,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,24,done,0.96,,,,0.86,0.14,0.81,0.08,done without an answer on an answer task; not verified,[],,,n/a,supported,n/a,supported,,
q10b-native-dev-20260924,calc-percent-dual-92e983cb,calc-percent,dual,5,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.82,2,0.59,2 (0.62); Multiply (0.20); Clear (0.10); Percent (0.04); Equals (0.03),0.02,0.11,0.13,0.07,"act: operation 0.82, target 0.59","[{""name"": ""click"", ""params"": {""index"": 14, ""label"": ""2""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-92e983cb,calc-percent,dual,10,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.91,0,0.51,0 (0.54); Multiply (0.11); Percent (0.10); 1 (0.09); Clear (0.07),0.02,0.72,0.12,0.06,"act: operation 0.91, target 0.51","[{""name"": ""click"", ""params"": {""index"": 18, ""label"": ""0""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-subtract-dual-fcd52ebb,calc-subtract,dual,6,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,click,0.98,7,0.94,7 (0.95); Clear (0.04); Equals (0.01); 4 (0.00); Multiply (0.00),0.02,0.09,0.07,0.05,"act: operation 0.98, target 0.94","[{""name"": ""click"", ""params"": {""index"": 5, ""label"": ""7""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-read-result-s1_only-c440015d,calc-read-result,s1_only,5,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,24,click,0.95,Equals,0.94,Equals (0.95); Clear (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.04,0.23,0.32,0.06,"act: operation 0.95, target 0.94","[{""name"": ""click"", ""params"": {""index"": 20, ""label"": ""Equals""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-subtract-dual-fcd52ebb,calc-subtract,dual,9,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,done,0.95,,,,0.93,0.26,0.55,0.08,"verification accept: complete p=0.90, max unmet p=0.06",[],,,n/a,supported,n/a,supported,,
q10b-native-dev-20260924,textedit-append-line-dual-680b95c6,textedit-append-line,dual,2,s1,"Add the line ""Second line."" at the end of the document, keeping the first line as it is, and save the document.",app://TextEdit,4,click,0.63,button,0.6,button (0.73); button (0.14); button (0.13),0.22,0.07,0.29,0.08,"act: operation 0.63, target 0.6","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""button""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,done,0.95,,,,0.94,0.46,0.48,0.09,"verification accept: complete p=0.84, max unmet p=0.10",[],,,n/a,supported,n/a,supported,,
q10b-native-dev-20260924,calc-percent-dual-7ee994b5,calc-percent,dual,6,s2,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.91,All Clear,0.32,All Clear (0.36); 2 (0.31); 1 (0.14); Percent (0.12); 4 (0.02),0.02,0.79,0.1,0.07,"System 2 click [14] (Display is cleared at 0, starting entry of 240×15% to get 36)","[{""name"": ""click"", ""params"": {""index"": 14, ""label"": ""2""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-707b415c,calc-percent,dual,6,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.8,0,0.32,4 (0.35); 0 (0.26); Equals (0.21); Clear (0.07); 2 (0.04),0.02,0.13,0.15,0.06,retry_alternate: retry_alternate: target confidence 0.32 < 0.45; alternate 18 p=0.26 within 0.15 of chosen p=0.35,"[{""name"": ""click"", ""params"": {""index"": 18, ""label"": ""0""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-s1_only-79705101,calc-percent,s1_only,4,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.93,Percent,0.36,Percent (0.40); 2 (0.23); Multiply (0.17); Clear (0.17); 4 (0.02),0.02,0.1,0.1,0.08,target_confidence: target confidence 0.36 < 0.45,[],,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,textedit-append-line-s1_only-a7596bdd,textedit-append-line,s1_only,2,s1,"Add the line ""Second line."" at the end of the document, keeping the first line as it is, and save the document.",app://TextEdit,4,click,0.63,button,0.54,button (0.69); button (0.17); button (0.14),0.2,0.08,0.24,0.09,"act: operation 0.63, target 0.54","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""button""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,textedit-append-line-s1_only-80fa6ec1,textedit-append-line,s1_only,1,s1,"Add the line ""Second line."" at the end of the document, keeping the first line as it is, and save the document.",app://TextEdit,4,append,0.99,text area,1.0,text area (1.00),0.02,0.05,0.21,0.06,"act: operation 0.99, target 1.0","[{""name"": ""input"", ""params"": {""index"": 1, ""label"": ""text area"", ""text"": ""Second line."", ""append"": true}}]",,,right,n/a,right,n/a,,
q10b-native-dev-20260924,calc-multiply-s1_only-77f1d13d,calc-multiply,s1_only,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.93,Equals,0.94,Equals (0.95); Clear (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.04,0.52,0.09,0.08,"act: operation 0.93, target 0.94","[{""name"": ""click"", ""params"": {""index"": 20, ""label"": ""Equals""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-read-result-s1_only-fd920e39,calc-read-result,s1_only,2,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,24,click,0.98,9,0.95,9 (0.95); All Clear (0.04); Multiply (0.01); 4 (0.00); 8 (0.00),0.02,0.07,0.14,0.07,"act: operation 0.98, target 0.95","[{""name"": ""click"", ""params"": {""index"": 7, ""label"": ""9""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,textedit-append-line-dual-49cf1661,textedit-append-line,dual,2,s1,"Add the line ""Second line."" at the end of the document, keeping the first line as it is, and save the document.",app://TextEdit,4,click,0.68,button,0.65,button (0.77); button (0.12); button (0.11),0.2,0.08,0.25,0.09,"act: operation 0.68, target 0.65","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""button""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-read-result-s1_only-426523ae,calc-read-result,s1_only,6,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,24,done,0.96,,,,0.83,0.16,0.81,0.08,done without an answer on an answer task; not verified,[],,,n/a,supported,n/a,supported,,
